Video,Frames,G,CR,V
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\048_Sn27Bi_100,336-372,,20,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\049_Sn27Bi_100,420-451,,10,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\050_Sn27Bi_100,465-527,,6.6,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\051_Sn27Bi_100,580-680,,4,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\052_Sn27Bi_100,510-561,,4,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\053_Sn27Bi_100,462-474,,6.6,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\054_Sn27Bi_100,437-449,,10,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\055_Sn27Bi_100,391-397,,20,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\056_Sn27Bi_100RB,"800-1771, 2156-3176, 3176-3244, 3244-3850",,,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\057_Sn27Bi_100RB,112-352,,,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\058_Sn27Bi_100RB,405-1271,,,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\059_Sn27Bi_100RB,72-648,,,
X:\Radiography Drive\2013-11_APS\Clarke_2013_November\060_Sn27Bi_100RB,1017-1480,,,
